GO.ID	Term	Annotated	Significant	Expected	P_value
94	GO:0004677	DNA-dependent protein kinase activity	4	4	1.5	0.01980
95	GO:0010997	anaphase-promoting complex binding	4	4	1.5	0.01980
96	GO:0015631	tubulin binding	179	86	67.15	0.02037
97	GO:0004623	phospholipase A2 activity	25	14	9.38	0.02106
98	GO:0005158	insulin receptor binding	17	11	6.38	0.02106
99	GO:0019964	type II interferon binding	17	11	6.38	0.02106
100	GO:0016594	glycine binding	17	11	6.38	0.02106
101	GO:0008092	cytoskeletal protein binding	593	313	222.47	0.02405
102	GO:0016404	15-hydroxyprostaglandin dehydrogenase (NAD+) activity	30	17	11.26	0.02552
103	GO:0042166	acetylcholine binding	28	16	10.5	0.02721
104	GO:0005509	calcium ion binding	1100	443	412.68	0.02819
105	GO:0008017	microtubule binding	141	65	52.9	0.02841
106	GO:0030332	cyclin binding	6	5	2.25	0.03063
107	GO:0001965	G-protein alpha-subunit binding	6	5	2.25	0.03063
108	GO:0004090	carbonyl reductase (NADPH) activity	6	5	2.25	0.03063
109	GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	6	5	2.25	0.03063
110	GO:0071889	14-3-3 protein binding	6	5	2.25	0.03063
111	GO:0004540	RNA nuclease activity	164	46	61.53	0.03100
112	GO:0043130	ubiquitin binding	81	39	30.39	0.03234
113	GO:0004722	protein serine/threonine phosphatase activity	27	16	10.13	0.03253
114	GO:0030234	enzyme regulator activity	655	326	245.73	0.03403
115	GO:0016798	hydrolase activity, acting on glycosyl bonds	177	79	66.4	0.03582
116	GO:0017081	chloride channel regulator activity	18	11	6.75	0.03602
117	GO:0004860	protein kinase inhibitor activity	23	13	8.63	0.03604
118	GO:0043546	molybdopterin cofactor binding	8	6	3	0.03607
119	GO:0004176	ATP-dependent peptidase activity	8	6	3	0.03607
120	GO:0022824	transmitter-gated monoatomic ion channel activity	48	20	18.01	0.03610
121	GO:0004725	protein tyrosine phosphatase activity	105	52	39.39	0.03659
122	GO:0004890	GABA-A receptor activity	31	17	11.63	0.03711
123	GO:0001540	amyloid-beta binding	31	17	11.63	0.03711
124	GO:0019905	syntaxin binding	25	15	9.38	0.03743
125	GO:0050681	nuclear androgen receptor binding	16	10	6	0.03749
126	GO:0005385	zinc ion transmembrane transporter activity	10	7	3.75	0.03845
127	GO:0004602	glutathione peroxidase activity	10	7	3.75	0.03845
128	GO:0008301	DNA binding, bending	14	9	5.25	0.03859
129	GO:0002162	dystroglycan binding	14	9	5.25	0.03859
130	GO:0003730	mRNA 3'-UTR binding	14	9	5.25	0.03904
131	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	12	8	4.5	0.03905
132	GO:0017111	ribonucleoside triphosphate phosphatase activity	1050	458	393.93	0.04244
133	GO:0019902	phosphatase binding	109	53	40.89	0.04345
134	GO:0051539	4 iron, 4 sulfur cluster binding	43	22	16.13	0.04694
135	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	99	42	37.14	0.04825
136	GO:0017022	myosin binding	34	18	12.76	0.04961
137	GO:0016772	transferase activity, transferring phosphorus-containing groups	2432	656	912.41	0.05054
138	GO:0005251	delayed rectifier potassium channel activity	48	24	18.01	0.05218
139	GO:0004559	alpha-mannosidase activity	9	9	3.38	0.05271
140	GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	7	6	2.63	0.05276
141	GO:0015278	calcium-release channel activity	10	7	3.75	0.05276
142	GO:0050700	CARD domain binding	3	3	1.13	0.05279
143	GO:0004427	inorganic diphosphate phosphatase activity	3	3	1.13	0.05279
144	GO:0004151	dihydroorotase activity	3	3	1.13	0.05279
145	GO:0048027	mRNA 5'-UTR binding	3	3	1.13	0.05279
146	GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	3	3	1.13	0.05279
147	GO:0061133	endopeptidase activator activity	3	3	1.13	0.05279
148	GO:0008190	eukaryotic initiation factor 4E binding	3	3	1.13	0.05279
149	GO:0030215	semaphorin receptor binding	3	3	1.13	0.05279
