GO.ID	Term	Annotated	Significant	Expected	P_value
91	GO:0010613	positive regulation of cardiac muscle hypertrophy	8	7	3.09	0.00672
92	GO:0032486	Rap protein signal transduction	12	8	4.63	0.00672
93	GO:0050830	defense response to Gram-positive bacterium	16	12	6.17	0.00676
94	GO:0017038	protein import	84	44	32.4	0.00687
95	GO:0051091	positive regulation of DNA-binding transcription factor activity	100	53	38.57	0.00738
96	GO:2000648	positive regulation of stem cell proliferation	41	24	15.81	0.00747
97	GO:0010827	regulation of glucose transmembrane transport	34	22	13.11	0.00751
98	GO:0030901	midbrain development	52	29	20.06	0.00773
99	GO:0021591	ventricular system development	29	17	11.18	0.00811
100	GO:0019827	stem cell population maintenance	78	43	30.08	0.00816
101	GO:0070588	calcium ion transmembrane transport	233	116	89.86	0.00817
102	GO:0001822	kidney development	208	91	80.22	0.00819
103	GO:0030838	positive regulation of actin filament polymerization	36	22	13.88	0.00823
104	GO:0002053	positive regulation of mesenchymal cell proliferation	35	21	13.5	0.00824
105	GO:0048489	synaptic vesicle transport	58	33	22.37	0.00840
106	GO:0042770	signal transduction in response to DNA damage	102	57	39.34	0.00844
107	GO:0008333	endosome to lysosome transport	25	16	9.64	0.00848
108	GO:0009880	embryonic pattern specification	62	28	23.91	0.00851
109	GO:0009437	carnitine metabolic process	17	10	6.56	0.00852
110	GO:0055093	response to hyperoxia	7	6	2.7	0.00853
111	GO:0034063	stress granule assembly	5	5	1.93	0.00853
112	GO:0032000	positive regulation of fatty acid beta-oxidation	5	5	1.93	0.00853
113	GO:0060463	lung lobe morphogenesis	5	5	1.93	0.00853
114	GO:0009083	branched-chain amino acid catabolic process	16	9	6.17	0.00853
115	GO:0035094	response to nicotine	40	24	15.43	0.00873
116	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	50	30	19.28	0.00876
117	GO:0007411	axon guidance	262	114	101.05	0.00880
118	GO:0019222	regulation of metabolic process	3996	1797	1541.2	0.00936
119	GO:0006897	endocytosis	524	223	202.1	0.00940
120	GO:0007018	microtubule-based movement	283	133	109.15	0.00947
121	GO:0045332	phospholipid translocation	15	12	5.79	0.00951
122	GO:0060997	dendritic spine morphogenesis	23	15	8.87	0.00951
123	GO:0032367	intracellular cholesterol transport	21	14	8.1	0.00952
124	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	10	8	3.86	0.00953
125	GO:0048712	negative regulation of astrocyte differentiation	10	8	3.86	0.00953
126	GO:0090136	epithelial cell-cell adhesion	13	9	5.01	0.00953
127	GO:0032496	response to lipopolysaccharide	96	54	37.03	0.01044
128	GO:0046330	positive regulation of JNK cascade	44	25	16.97	0.01063
129	GO:0048545	response to steroid hormone	229	118	88.32	0.01106
130	GO:0051899	membrane depolarization	83	42	32.01	0.01109
131	GO:0006099	tricarboxylic acid cycle	42	24	16.2	0.01113
132	GO:0030154	cell differentiation	2200	989	848.51	0.01124
133	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	171	87	65.95	0.01130
134	GO:0030521	androgen receptor signaling pathway	22	14	8.49	0.01163
135	GO:0032480	negative regulation of type I interferon production	13	10	5.01	0.01163
136	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	12	9	4.63	0.01164
137	GO:0090102	cochlea development	38	18	14.66	0.01165
138	GO:0019221	cytokine-mediated signaling pathway	125	63	48.21	0.01200
139	GO:0007283	spermatogenesis	222	100	85.62	0.01209
140	GO:1902275	regulation of chromatin organization	56	30	21.6	0.01228
141	GO:0048011	neurotrophin TRK receptor signaling pathway	66	35	25.46	0.01252
142	GO:1902476	chloride transmembrane transport	64	34	24.68	0.01252
143	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	39	22	15.04	0.01267
144	GO:0050771	negative regulation of axonogenesis	39	20	15.04	0.01313
145	GO:0043200	response to amino acid	55	33	21.21	0.01353
146	GO:0043085	positive regulation of catalytic activity	838	405	323.2	0.01358
147	GO:0000272	polysaccharide catabolic process	48	26	18.51	0.01362
148	GO:0051351	positive regulation of ligase activity	32	19	12.34	0.01364
149	GO:0006955	immune response	499	221	192.46	0.01389
150	GO:0070372	regulation of ERK1 and ERK2 cascade	92	53	35.48	0.01392
151	GO:0051443	positive regulation of ubiquitin-protein transferase activity	30	18	11.57	0.01408
152	GO:0007520	myoblast fusion	22	15	8.49	0.01410
153	GO:0007512	adult heart development	16	11	6.17	0.01413
154	GO:0030032	lamellipodium assembly	29	16	11.18	0.01413
155	GO:0000413	protein peptidyl-prolyl isomerization	28	17	10.8	0.01447
156	GO:0006306	DNA methylation	46	22	17.74	0.01452
157	GO:0030048	actin filament-based movement	50	31	19.28	0.01462
158	GO:0042176	regulation of protein catabolic process	117	65	45.13	0.01476
159	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	26	16	10.03	0.01480
160	GO:0001933	negative regulation of protein phosphorylation	115	61	44.35	0.01483
161	GO:0051017	actin filament bundle assembly	58	33	22.37	0.01494
162	GO:0045214	sarcomere organization	23	16	8.87	0.01501
163	GO:0046686	response to cadmium ion	23	15	8.87	0.01511
164	GO:0034504	protein localization to nucleus	142	83	54.77	0.01512
165	GO:2001251	negative regulation of chromosome organization	77	26	29.7	0.01531
166	GO:0090162	establishment of epithelial cell polarity	16	10	6.17	0.01540
167	GO:0032755	positive regulation of interleukin-6 production	7	6	2.7	0.01541
168	GO:0050847	progesterone receptor signaling pathway	7	6	2.7	0.01541
169	GO:0006097	glyoxylate cycle	7	6	2.7	0.01541
170	GO:0050908	detection of light stimulus involved in visual perception	7	6	2.7	0.01541
171	GO:0006607	NLS-bearing protein import into nucleus	7	6	2.7	0.01541
172	GO:0098586	cellular response to virus	7	6	2.7	0.01541
173	GO:0048853	forebrain morphogenesis	10	7	3.86	0.01541
174	GO:0032094	response to food	17	9	6.56	0.01542
175	GO:0040029	epigenetic regulation of gene expression	93	47	35.87	0.01600
176	GO:0006874	intracellular calcium ion homeostasis	151	76	58.24	0.01656
177	GO:0045786	negative regulation of cell cycle	259	132	99.89	0.01685
178	GO:0045087	innate immune response	344	152	132.68	0.01689
179	GO:0006869	lipid transport	167	89	64.41	0.01733
180	GO:0006915	apoptotic process	1046	490	403.43	0.01798
181	GO:0043279	response to alkaloid	88	46	33.94	0.01863
182	GO:0030031	cell projection assembly	305	138	117.63	0.01876
183	GO:0035335	peptidyl-tyrosine dephosphorylation	105	52	40.5	0.01877
184	GO:0009790	embryo development	858	366	330.92	0.01880
185	GO:0006413	translational initiation	87	50	33.55	0.01942
186	GO:0045471	response to ethanol	47	26	18.13	0.01969
187	GO:1901222	regulation of non-canonical NF-kappaB signal transduction	37	22	14.27	0.01969
188	GO:0007250	activation of NF-kappaB-inducing kinase activity	35	20	13.5	0.01973
189	GO:0010638	positive regulation of organelle organization	152	84	58.62	0.01975
190	GO:0007420	brain development	440	208	169.7	0.01976
191	GO:0030330	DNA damage response, signal transduction by p53 class mediator	40	26	15.43	0.02000
192	GO:0001702	gastrulation with mouth forming second	15	11	5.79	0.02009
193	GO:2000780	negative regulation of double-strand break repair	11	9	4.24	0.02010
194	GO:0001578	microtubule bundle formation	50	24	19.28	0.02010
195	GO:0033344	cholesterol efflux	22	13	8.49	0.02010
