GO.ID	Term	Annotated	Significant	Expected	P_value
105	GO:0043005	neuron projection	725	6	5.95	0.77195
106	GO:0032991	protein-containing complex	3732	25	30.64	0.78356
107	GO:0016020	membrane	7010	57	57.56	0.79169
108	GO:0005794	Golgi apparatus	1049	5	8.61	0.80194
109	GO:0043025	neuronal cell body	256	3	2.1	0.80284
110	GO:0030496	midbody	201	1	1.65	0.81124
111	GO:0015629	actin cytoskeleton	295	2	2.42	0.83676
112	GO:0000922	spindle pole	237	1	1.95	0.86027
113	GO:0031410	cytoplasmic vesicle	1221	4	10.03	0.86292
114	GO:0045211	postsynaptic membrane	241	1	1.98	0.86487
115	GO:0030425	dendrite	309	2	2.54	0.86621
116	GO:0010008	endosome membrane	257	1	2.11	0.88181
117	GO:0005739	mitochondrion	1265	12	10.39	0.91070
118	GO:0005634	nucleus	4901	29	40.24	0.92492
119	GO:0005730	nucleolus	550	2	4.52	0.94326
120	GO:0048471	perinuclear region of cytoplasm	348	1	2.86	0.94496
121	GO:0005694	chromosome	654	2	5.37	0.94979
122	GO:0005813	centrosome	440	1	3.61	0.97469
123	GO:0000139	Golgi membrane	499	1	4.1	0.98466
124	GO:1990904	ribonucleoprotein complex	316	2	2.59	1.00000
125	GO:0097014	ciliary plasm	78	1	0.64	1.00000
126	GO:0043292	contractile fiber	132	3	1.08	1.00000
127	GO:0062023	collagen-containing extracellular matrix	260	6	2.13	1.00000
128	GO:0098862	cluster of actin-based cell projections	145	3	1.19	1.00000
129	GO:0097708	intracellular vesicle	1221	4	10.03	1.00000
130	GO:0044853	plasma membrane raft	46	2	0.38	1.00000
131	GO:0032838	plasma membrane bounded cell projection cytoplasm	94	1	0.77	1.00000
132	GO:0036477	somatodendritic compartment	425	3	3.49	1.00000
133	GO:0140513	nuclear protein-containing complex	735	5	6.03	1.00000
134	GO:0009526	plastid envelope	11	1	0.09	1.00000
135	GO:0099568	cytoplasmic region	106	1	0.87	1.00000
136	GO:0098852	lytic vacuole membrane	233	2	1.91	1.00000
137	GO:0016528	sarcoplasm	43	1	0.35	1.00000
138	GO:1990234	transferase complex	488	1	4.01	1.00000
139	GO:0098857	membrane microdomain	156	4	1.28	1.00000
140	GO:0098858	actin-based cell projection	115	3	0.94	1.00000
141	GO:0098562	cytoplasmic side of membrane	68	1	0.56	1.00000
142	GO:0005773	vacuole	531	6	4.36	1.00000
143	GO:0005775	vacuolar lumen	51	1	0.42	1.00000
