GO.ID	Term	Annotated	Significant	Expected	P_value
92	GO:0051591	response to cAMP	41	21	15.83	0.02376
93	GO:0007179	transforming growth factor beta receptor signaling pathway	105	59	40.54	0.02390
94	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	26	16	10.04	0.02457
95	GO:0042149	cellular response to glucose starvation	13	9	5.02	0.02513
96	GO:0030199	collagen fibril organization	40	22	15.44	0.02582
97	GO:0060113	inner ear receptor cell differentiation	93	41	35.91	0.02606
98	GO:0050965	detection of temperature stimulus involved in sensory perception of pain	15	10	5.79	0.02609
99	GO:2000095	regulation of Wnt signaling pathway, planar cell polarity pathway	35	22	13.51	0.02631
100	GO:0001867	complement activation, lectin pathway	19	13	7.34	0.02639
101	GO:0050896	response to stimulus	5862	2298	2263.39	0.02666
102	GO:0021987	cerebral cortex development	98	51	37.84	0.02758
103	GO:0051384	response to glucocorticoid	56	31	21.62	0.02877
104	GO:0000002	mitochondrial genome maintenance	87	43	33.59	0.03055
105	GO:0051291	protein heterooligomerization	60	27	23.17	0.03066
106	GO:0034976	response to endoplasmic reticulum stress	98	47	37.84	0.03388
107	GO:0002328	pro-B cell differentiation	10	7	3.86	0.03489
108	GO:0043666	regulation of phosphoprotein phosphatase activity	8	6	3.09	0.03489
109	GO:0032025	response to cobalt ion	6	5	2.32	0.03490
110	GO:0010694	positive regulation of alkaline phosphatase activity	6	5	2.32	0.03490
111	GO:0051044	positive regulation of membrane protein ectodomain proteolysis	6	5	2.32	0.03490
112	GO:0035726	common myeloid progenitor cell proliferation	6	5	2.32	0.03490
113	GO:0060337	type I interferon-mediated signaling pathway	17	9	6.56	0.03491
114	GO:0097178	ruffle assembly	10	6	3.86	0.03491
115	GO:0003018	vascular process in circulatory system	116	37	44.79	0.03513
116	GO:0009887	animal organ morphogenesis	703	290	271.44	0.03522
117	GO:0045664	regulation of neuron differentiation	276	115	106.57	0.03586
118	GO:0030198	extracellular matrix organization	264	128	101.93	0.03724
119	GO:0065008	regulation of biological quality	2065	779	797.32	0.03779
120	GO:0030501	positive regulation of bone mineralization	37	20	14.29	0.04054
121	GO:0075713	establishment of integrated proviral latency	37	20	14.29	0.04054
122	GO:0060284	regulation of cell development	478	197	184.56	0.04097
123	GO:0031331	positive regulation of cellular catabolic process	122	48	47.11	0.04152
124	GO:0030277	maintenance of gastrointestinal epithelium	12	8	4.63	0.04169
125	GO:0042416	dopamine biosynthetic process	8	6	3.09	0.04171
126	GO:0034122	negative regulation of toll-like receptor signaling pathway	8	6	3.09	0.04171
127	GO:0010042	response to manganese ion	11	7	4.25	0.04171
128	GO:0007163	establishment or maintenance of cell polarity	143	53	55.21	0.04294
129	GO:0072376	protein activation cascade	39	20	15.06	0.04302
130	GO:0048661	positive regulation of smooth muscle cell proliferation	20	12	7.72	0.04305
131	GO:0035583	sequestering of TGFbeta in extracellular matrix	20	12	7.72	0.04305
132	GO:0090288	negative regulation of cellular response to growth factor stimulus	63	31	24.33	0.04306
133	GO:0045471	response to ethanol	47	23	18.15	0.04317
134	GO:0006283	transcription-coupled nucleotide-excision repair	18	11	6.95	0.04458
135	GO:0030866	cortical actin cytoskeleton organization	21	12	8.11	0.04458
136	GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	15	10	5.79	0.04506
137	GO:0007390	germ-band shortening	10	7	3.86	0.04510
138	GO:0032731	positive regulation of interleukin-1 beta production	10	7	3.86	0.04510
139	GO:0006682	galactosylceramide biosynthetic process	10	7	3.86	0.04510
140	GO:0060674	placenta blood vessel development	21	11	8.11	0.04510
141	GO:0022603	regulation of anatomical structure morphogenesis	536	238	206.96	0.04535
142	GO:0007595	lactation	16	10	6.18	0.04579
143	GO:0006303	double-strand break repair via nonhomologous end joining	33	18	12.74	0.04590
144	GO:0071222	cellular response to lipopolysaccharide	52	23	20.08	0.04604
145	GO:0006629	lipid metabolic process	953	387	367.97	0.04610
146	GO:0030500	regulation of bone mineralization	54	30	20.85	0.04621
147	GO:0009886	post-embryonic animal morphogenesis	85	39	32.82	0.04640
148	GO:2000167	regulation of planar cell polarity pathway involved in neural tube closure	18	11	6.95	0.04641
149	GO:0071711	basement membrane organization	21	14	8.11	0.04641
150	GO:0030318	melanocyte differentiation	12	8	4.63	0.04643
151	GO:0043968	histone H2A acetylation	12	8	4.63	0.04643
152	GO:0071679	commissural neuron axon guidance	14	9	5.41	0.04651
153	GO:0042930	enterobactin transport	14	9	5.41	0.04651
154	GO:0032728	positive regulation of interferon-beta production	14	9	5.41	0.04651
155	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	14	9	5.41	0.04651
156	GO:0050915	sensory perception of sour taste	22	12	8.49	0.04651
157	GO:0009615	response to virus	192	90	74.13	0.04759
158	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	47	23	18.15	0.04839
159	GO:0042981	regulation of apoptotic process	712	286	274.91	0.04958
160	GO:2000177	regulation of neural precursor cell proliferation	77	38	29.73	0.05074
161	GO:0010952	positive regulation of peptidase activity	98	49	37.84	0.05150
162	GO:0008203	cholesterol metabolic process	111	50	42.86	0.05239
163	GO:0007601	visual perception	176	80	67.96	0.05261
164	GO:0006606	protein import into nucleus	116	53	44.79	0.05498
165	GO:0002697	regulation of immune effector process	81	37	31.28	0.05509
166	GO:0070936	protein K48-linked ubiquitination	28	16	10.81	0.05513
167	GO:0060964	regulation of miRNA-mediated gene silencing	57	28	22.01	0.05515
168	GO:0060429	epithelium development	773	318	298.47	0.05711
169	GO:0002753	cytosolic pattern recognition receptor signaling pathway	35	22	13.51	0.05739
170	GO:0043069	negative regulation of programmed cell death	374	149	144.41	0.05748
171	GO:0060173	limb development	117	49	45.18	0.05750
172	GO:0051709	regulation of killing of cells of another organism	6	6	2.32	0.05750
173	GO:0048515	spermatid differentiation	45	21	17.38	0.05751
174	GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	7	6	2.7	0.05751
175	GO:0018027	peptidyl-lysine dimethylation	5	5	1.93	0.05752
176	GO:0006000	fructose metabolic process	6	5	2.32	0.05753
177	GO:0006983	ER overload response	6	5	2.32	0.05753
178	GO:2000172	regulation of branching morphogenesis of a nerve	5	4	1.93	0.05754
179	GO:0000256	allantoin catabolic process	3	3	1.16	0.05755
180	GO:0071672	negative regulation of smooth muscle cell chemotaxis	3	3	1.16	0.05755
181	GO:0010133	proline catabolic process to glutamate	3	3	1.16	0.05755
182	GO:0032790	ribosome disassembly	3	3	1.16	0.05755
183	GO:0034144	negative regulation of toll-like receptor 4 signaling pathway	3	3	1.16	0.05755
184	GO:0051001	negative regulation of nitric-oxide synthase activity	3	3	1.16	0.05755
185	GO:0030388	fructose 1,6-bisphosphate metabolic process	3	3	1.16	0.05755
186	GO:0006499	N-terminal protein myristoylation	3	3	1.16	0.05755
187	GO:0035372	protein localization to microtubule	3	3	1.16	0.05755
188	GO:0006449	regulation of translational termination	3	3	1.16	0.05755
189	GO:0006210	thymine catabolic process	3	3	1.16	0.05755
190	GO:0006203	dGTP catabolic process	3	3	1.16	0.05755
191	GO:0030862	positive regulation of polarized epithelial cell differentiation	3	3	1.16	0.05755
192	GO:0035845	photoreceptor cell outer segment organization	3	3	1.16	0.05755
193	GO:0090238	positive regulation of arachidonic acid secretion	3	3	1.16	0.05755
194	GO:0046203	spermidine catabolic process	3	3	1.16	0.05755
195	GO:0046208	spermine catabolic process	3	3	1.16	0.05755
196	GO:0070837	dehydroascorbic acid transport	3	3	1.16	0.05755
197	GO:0031536	positive regulation of exit from mitosis	3	3	1.16	0.05755
198	GO:0015810	aspartate transmembrane transport	6	4	2.32	0.05755
199	GO:0032988	protein-RNA complex disassembly	7	4	2.7	0.05756
200	GO:0071260	cellular response to mechanical stimulus	25	14	9.65	0.05859
201	GO:0070534	protein K63-linked ubiquitination	36	21	13.9	0.06197
202	GO:0001947	heart looping	66	32	25.48	0.06499
203	GO:0060346	bone trabecula formation	22	13	8.49	0.06582
204	GO:0044469	envenomation resulting in positive regulation of blood coagulation in another organism	21	12	8.11	0.06586
205	GO:0035807	induction of blood coagulation in another organism	21	12	8.11	0.06586
206	GO:0035176	social behavior	32	17	12.36	0.06756
207	GO:0034138	toll-like receptor 3 signaling pathway	20	12	7.72	0.06961
208	GO:0050688	regulation of defense response to virus	36	18	13.9	0.06962
209	GO:0001525	angiogenesis	327	139	126.26	0.07036
210	GO:0001649	osteoblast differentiation	118	62	45.56	0.07130
211	GO:1901069	guanosine-containing compound catabolic process	186	82	71.82	0.07214
212	GO:0030282	bone mineralization	71	40	27.41	0.07286
213	GO:0034587	piRNA processing	17	10	6.56	0.07345
214	GO:0051968	positive regulation of synaptic transmission, glutamatergic	17	10	6.56	0.07345
215	GO:0043967	histone H4 acetylation	35	13	13.51	0.07371
216	GO:0046039	GTP metabolic process	193	83	74.52	0.07616
217	GO:0090175	regulation of establishment of planar polarity	70	38	27.03	0.07644
218	GO:0006066	alcohol metabolic process	320	133	123.56	0.07649
219	GO:0010717	regulation of epithelial to mesenchymal transition	38	19	14.67	0.07669
220	GO:0060537	muscle tissue development	189	77	72.98	0.07670
221	GO:0014911	positive regulation of smooth muscle cell migration	7	6	2.7	0.07673
222	GO:0035020	regulation of Rac protein signal transduction	6	5	2.32	0.07675
223	GO:0043570	maintenance of DNA repeat elements	10	6	3.86	0.07677
224	GO:2000347	positive regulation of hepatocyte proliferation	5	4	1.93	0.07677
225	GO:0021824	cerebral cortex tangential migration using cell-axon interactions	5	4	1.93	0.07677
226	GO:0021828	gonadotrophin-releasing hormone neuronal migration to the hypothalamus	5	4	1.93	0.07677
227	GO:0019518	L-threonine catabolic process to glycine	5	4	1.93	0.07677
228	GO:0021649	vestibulocochlear nerve structural organization	5	4	1.93	0.07677
229	GO:0015761	mannose transmembrane transport	5	4	1.93	0.07677
230	GO:0015860	purine nucleoside transmembrane transport	5	4	1.93	0.07677
231	GO:0015867	ATP transport	5	4	1.93	0.07677
232	GO:0045779	negative regulation of bone resorption	5	4	1.93	0.07677
233	GO:0061551	trigeminal ganglion development	5	4	1.93	0.07677
234	GO:0090169	regulation of spindle assembly	5	4	1.93	0.07677
235	GO:1901687	glutathione derivative biosynthetic process	5	4	1.93	0.07677
236	GO:0009115	xanthine catabolic process	5	4	1.93	0.07677
237	GO:0002572	pro-T cell differentiation	5	4	1.93	0.07677
238	GO:0046784	viral mRNA export from host cell nucleus	5	4	1.93	0.07677
239	GO:0060465	pharynx development	8	5	3.09	0.07678
240	GO:0060736	prostate gland growth	8	5	3.09	0.07678
241	GO:0071763	nuclear membrane organization	30	13	11.58	0.07680
242	GO:0007212	dopamine receptor signaling pathway	25	14	9.65	0.07707
243	GO:0006353	DNA-templated transcription termination	50	21	19.31	0.07765
244	GO:0006869	lipid transport	167	70	64.48	0.07859
245	GO:1900373	positive regulation of purine nucleotide biosynthetic process	57	27	22.01	0.07866
246	GO:0090177	establishment of planar polarity involved in neural tube closure	41	22	15.83	0.08033
247	GO:0048008	platelet-derived growth factor receptor signaling pathway	20	12	7.72	0.08045
248	GO:0019344	cysteine biosynthetic process	16	10	6.18	0.08047
249	GO:0048842	positive regulation of axon extension involved in axon guidance	13	8	5.02	0.08052
250	GO:0048538	thymus development	13	8	5.02	0.08052
251	GO:0043932	ossification involved in bone remodeling	13	8	5.02	0.08052
252	GO:0060563	neuroepithelial cell differentiation	16	9	6.18	0.08053
253	GO:0007565	female pregnancy	60	31	23.17	0.08261
254	GO:0032608	interferon-beta production	37	23	14.29	0.08289
255	GO:0006911	phagocytosis, engulfment	31	16	11.97	0.08294
256	GO:0050909	sensory perception of taste	44	24	16.99	0.08299
257	GO:0048593	camera-type eye morphogenesis	85	38	32.82	0.08309
258	GO:0006487	protein N-linked glycosylation	65	27	25.1	0.08313
259	GO:0006936	muscle contraction	130	52	50.19	0.08314
260	GO:0036010	protein localization to endosome	15	10	5.79	0.08315
261	GO:0009299	mRNA transcription	12	8	4.63	0.08320
262	GO:0045444	fat cell differentiation	73	29	28.19	0.08323
263	GO:0030100	regulation of endocytosis	99	41	38.23	0.08323
264	GO:0090091	positive regulation of extracellular matrix disassembly	11	7	4.25	0.08323
265	GO:0043504	mitochondrial DNA repair	11	7	4.25	0.08323
266	GO:0071044	histone mRNA catabolic process	11	7	4.25	0.08323
267	GO:0070243	regulation of thymocyte apoptotic process	14	10	5.41	0.08329
268	GO:0022011	myelination in peripheral nervous system	16	8	6.18	0.08329
269	GO:1901166	neural crest cell migration involved in autonomic nervous system development	7	5	2.7	0.08339
270	GO:0070244	negative regulation of thymocyte apoptotic process	7	5	2.7	0.08339
271	GO:0009751	response to salicylic acid	7	5	2.7	0.08339
272	GO:0060060	post-embryonic retina morphogenesis in camera-type eye	7	5	2.7	0.08339
273	GO:0021631	optic nerve morphogenesis	15	6	5.79	0.08349
274	GO:0030073	insulin secretion	76	29	29.34	0.08352
275	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	63	36	24.33	0.08413
276	GO:0043542	endothelial cell migration	80	36	30.89	0.08448
277	GO:0060998	regulation of dendritic spine development	17	10	6.56	0.08457
278	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	27	13	10.43	0.08462
279	GO:0048703	embryonic viscerocranium morphogenesis	9	6	3.48	0.08462
280	GO:0046676	negative regulation of insulin secretion	9	6	3.48	0.08462
281	GO:0001561	fatty acid alpha-oxidation	9	6	3.48	0.08462
282	GO:0002032	desensitization of G protein-coupled receptor signaling pathway by arrestin	9	6	3.48	0.08462
283	GO:1901315	negative regulation of histone H2A K63-linked ubiquitination	9	6	3.48	0.08462
284	GO:0000050	urea cycle	9	6	3.48	0.08462
285	GO:0010224	response to UV-B	19	9	7.34	0.08466
286	GO:0033344	cholesterol efflux	22	10	8.49	0.08467
287	GO:0072089	stem cell proliferation	116	51	44.79	0.08498
288	GO:0017038	protein import	84	39	32.43	0.08743
289	GO:0071229	cellular response to acid chemical	68	33	26.26	0.08803
