GO.ID	Term	Annotated	Significant	Expected	P_value
99	GO:0005832	chaperonin-containing T-complex	7	2	0.83	0.19853
100	GO:0005858	axonemal dynein complex	39	8	4.64	0.21134
101	GO:0005874	microtubule	367	48	43.67	0.21696
102	GO:0016459	myosin complex	49	8	5.83	0.22243
103	GO:0042599	lamellar body	6	4	0.71	0.22356
104	GO:0097386	glial cell projection	6	2	0.71	0.22378
105	GO:0097440	apical dendrite	2	1	0.24	0.22383
106	GO:0033186	CAF-1 complex	2	1	0.24	0.22383
107	GO:0001534	radial spoke	2	1	0.24	0.22383
108	GO:0061574	ASAP complex	2	1	0.24	0.22383
109	GO:0036117	hyaluranon cable	2	1	0.24	0.22383
110	GO:0034663	endoplasmic reticulum chaperone complex	2	1	0.24	0.22383
111	GO:0017109	glutamate-cysteine ligase complex	2	1	0.24	0.22383
112	GO:0030893	meiotic cohesin complex	2	1	0.24	0.22383
113	GO:0071011	precatalytic spliceosome	2	1	0.24	0.22383
114	GO:0000137	Golgi cis cisterna	2	1	0.24	0.22383
115	GO:0005890	sodium:potassium-exchanging ATPase complex	2	1	0.24	0.22383
116	GO:0097136	Bcl-2 family protein complex	2	1	0.24	0.22383
117	GO:0005672	transcription factor TFIIA complex	2	1	0.24	0.22383
118	GO:0043257	laminin-8 complex	2	1	0.24	0.22383
119	GO:0043259	laminin-10 complex	2	1	0.24	0.22383
120	GO:0005879	axonemal microtubule	2	1	0.24	0.22383
121	GO:0005607	laminin-2 complex	2	1	0.24	0.22383
122	GO:0005967	mitochondrial pyruvate dehydrogenase complex	2	1	0.24	0.22383
123	GO:0032591	dendritic spine membrane	2	1	0.24	0.22383
124	GO:0001940	male pronucleus	2	1	0.24	0.22383
125	GO:0031085	BLOC-3 complex	2	1	0.24	0.22383
126	GO:0032279	asymmetric synapse	111	12	13.21	0.22404
127	GO:0030018	Z disc	79	12	9.4	0.22597
128	GO:0030286	dynein complex	89	16	10.59	0.22618
129	GO:0045121	membrane raft	156	20	18.56	0.23337
130	GO:0097443	sorting endosome	8	2	0.95	0.24488
131	GO:0005797	Golgi medial cisterna	8	2	0.95	0.24488
132	GO:0043194	axon initial segment	8	2	0.95	0.24488
133	GO:0030115	S-layer	8	2	0.95	0.24488
134	GO:0035253	ciliary rootlet	8	2	0.95	0.24488
135	GO:0005883	neurofilament	8	2	0.95	0.24488
136	GO:0005783	endoplasmic reticulum	1100	187	130.89	0.25354
137	GO:0000940	outer kinetochore	19	4	2.26	0.26100
138	GO:0060076	excitatory synapse	15	3	1.78	0.26113
139	GO:0032839	dendrite cytoplasm	15	3	1.78	0.26113
140	GO:0005791	rough endoplasmic reticulum	34	7	4.05	0.26154
141	GO:0005814	centriole	75	11	8.92	0.27634
142	GO:0005938	cell cortex	332	45	39.51	0.27690
143	GO:0000139	Golgi membrane	499	64	59.38	0.27765
144	GO:0031430	M band	30	5	3.57	0.28205
145	GO:0030666	endocytic vesicle membrane	62	11	7.38	0.28908
146	GO:0005770	late endosome	141	22	16.78	0.29057
147	GO:0045120	pronucleus	13	3	1.55	0.29144
148	GO:0031045	dense core granule	9	2	1.07	0.29156
149	GO:0032426	stereocilium tip	9	2	1.07	0.29156
150	GO:0031410	cytoplasmic vesicle	1221	163	145.29	0.30188
151	GO:0005881	cytoplasmic microtubule	33	6	3.93	0.30604
152	GO:0045254	pyruvate dehydrogenase complex	5	2	0.59	0.31610
153	GO:0016012	sarcoglycan complex	3	1	0.36	0.31620
154	GO:0044354	macropinosome	3	1	0.36	0.31620
155	GO:0031313	extrinsic component of endosome membrane	3	1	0.36	0.31620
156	GO:0009705	plant-type vacuole membrane	3	1	0.36	0.31620
157	GO:0002133	polycystin complex	3	1	0.36	0.31620
158	GO:0032996	Bcl3-Bcl10 complex	3	1	0.36	0.31620
159	GO:0033257	Bcl3/NF-kappaB2 complex	3	1	0.36	0.31620
